ts,objects,total_objects,slabs,cpu_slabs,cpu_partial,partial,objects_partial,order,objs_per_slab,object_size,slab_size,alloc_slab,alloc_fastpath,alloc_slowpath,alloc_from_partial,order_fallback,sheaf_return_fast,sheaf_return_slow,sheaf_prefill_fast,sheaf_prefill_slow,sheaf_prefill_oversize
1767357627.982203391,0,0,0,0,120,0,0,0,512,8,8,0,0,0,0,0,0,0,0,0,0
1767357630.216760833,0,0,0,0,120,0,0,0,512,8,8,0,0,0,0,0,0,0,0,0,0
1767357632.334418404,0,0,0,0,120,0,0,0,512,8,8,0,0,0,0,0,0,0,0,0,0
1767357634.454183848,0,0,0,0,120,0,0,0,512,8,8,0,0,0,0,0,0,0,0,0,0
1767357636.497959895,0,0,0,0,120,0,0,0,512,8,8,0,0,0,0,0,0,0,0,0,0
1767357638.519274896,0,0,0,0,120,0,0,0,512,8,8,1 C2=1,1532 C2=1443 C3=89,4 C2=3 C3=1,0,0,0,0,0,0,0
1767357641.129316617,9728 N0=9728,10240 N0=10240,21 N0=21,6 N0=6,120,0,0,0,512,8,8,27 C2=18 C3=1 C4=3 C5=1 C6=3 C7=1,13284 C2=9106 C3=89 C4=1533 C5=511 C6=2044 C7=1,29 C1=1 C2=18 C3=1 C4=3 C5=1 C6=4 C7=1,0,0,0,0,0,0,0
1767357644.485579297,24064 N0=24064,24064 N0=24064,48 N0=48,8 N0=8,120,0,0,0,512,8,8,54 C0=2 C1=6 C2=21 C3=1 C4=4 C5=3 C6=10 C7=7,26057 C0=545 C1=3112 C2=10639 C3=89 C4=2009 C5=1486 C6=5110 C7=3067,55 C0=2 C1=7 C2=21 C3=1 C4=4 C5=3 C6=10 C7=7,0,0,0,0,0,0,0
1767357647.918376354,35840 N0=35840,36352 N0=36352,71 N0=71,8 N0=8,120,0,0,0,512,8,8,78 C0=2 C1=27 C2=21 C3=3 C4=5 C5=3 C6=10 C7=7,38321 C0=545 C1=13332 C2=10639 C3=1111 C4=3031 C5=1486 C6=5110 C7=3067,80 C0=2 C1=27 C2=21 C3=3 C4=7 C5=3 C6=10 C7=7,0,0,0,0,0,0,0
1767357651.346512510,47616 N0=47616,48128 N0=48128,95 N0=95,8 N0=8,120,0,0,0,512,8,8,102 C0=2 C1=29 C2=23 C3=4 C4=7 C5=7 C6=12 C7=18,50151 C0=545 C1=14668 C2=11661 C3=1622 C4=3542 C5=3216 C6=6132 C7=8765,103 C0=2 C1=29 C2=23 C3=4 C4=7 C5=7 C6=12 C7=19,0,0,0,0,0,0,0
1767357655.003653868,61952 N0=61952,62464 N0=62464,122 N0=122,8 N0=8,120,0,0,0,512,8,8,130 C0=2 C1=29 C2=26 C3=4 C4=7 C5=7 C6=19 C7=36,64382 C0=545 C1=14727 C2=13135 C3=1622 C4=3542 C5=3339 C6=9586 C7=17886,131 C0=2 C1=29 C2=27 C3=4 C4=7 C5=7 C6=19 C7=36,0,0,0,0,0,0,0
1767357658.229172444,67584 N0=67584,67584 N0=67584,132 N0=132,8 N0=8,120,0,0,0,512,8,8,132 C0=2 C1=29 C2=28 C3=4 C4=7 C5=7 C6=19 C7=36,65404 C0=545 C1=14727 C2=14157 C3=1622 C4=3542 C5=3339 C6=9586 C7=17886,132 C0=2 C1=29 C2=28 C3=4 C4=7 C5=7 C6=19 C7=36,0,0,0,0,0,0,0
1767357660.590852330,67584 N0=67584,67584 N0=67584,132 N0=132,8 N0=8,120,0,0,0,512,8,8,132 C0=2 C1=29 C2=28 C3=4 C4=7 C5=7 C6=19 C7=36,65404 C0=545 C1=14727 C2=14157 C3=1622 C4=3542 C5=3339 C6=9586 C7=17886,132 C0=2 C1=29 C2=28 C3=4 C4=7 C5=7 C6=19 C7=36,0,0,0,0,0,0,0
1767357663.095957700,67584 N0=67584,67584 N0=67584,132 N0=132,8 N0=8,120,0,0,0,512,8,8,132 C0=2 C1=29 C2=28 C3=4 C4=7 C5=7 C6=19 C7=36,65404 C0=545 C1=14727 C2=14157 C3=1622 C4=3542 C5=3339 C6=9586 C7=17886,132 C0=2 C1=29 C2=28 C3=4 C4=7 C5=7 C6=19 C7=36,0,0,0,0,0,0,0
1767357665.474363498,67584 N0=67584,67584 N0=67584,132 N0=132,8 N0=8,120,0,0,0,512,8,8,132 C0=2 C1=29 C2=28 C3=4 C4=7 C5=7 C6=19 C7=36,65404 C0=545 C1=14727 C2=14157 C3=1622 C4=3542 C5=3339 C6=9586 C7=17886,132 C0=2 C1=29 C2=28 C3=4 C4=7 C5=7 C6=19 C7=36,0,0,0,0,0,0,0
1767357667.934810361,67584 N0=67584,67584 N0=67584,132 N0=132,8 N0=8,120,0,0,0,512,8,8,132 C0=2 C1=29 C2=28 C3=4 C4=7 C5=7 C6=19 C7=36,65404 C0=545 C1=14727 C2=14157 C3=1622 C4=3542 C5=3339 C6=9586 C7=17886,132 C0=2 C1=29 C2=28 C3=4 C4=7 C5=7 C6=19 C7=36,0,0,0,0,0,0,0
