kernel,mem,mode,bs,ts,bw_mib_s,iops,clat_avg_us,clat_p99_us,cpu_usr_pct,cpu_sys_pct
bench_com,4G,read,10M,20250812-112045,234.0,23.0,34953.21,36963.0,0.39,97.5
bench_com,4G,read,1M,20250812-111908,235.0,235.0,3434.23,4146.0,1.51,96.21
bench_com,4G,read,100M,20250812-112142,236.0,2.0,341780.0,393000.0,0.38,97.36
bench_com,4G,read,128k,20250812-112452,210.0,1677.0,489.88,1254.0,5.0,93.06
bench_com,4G,read,4k,20250812-112334,155.0,39700.0,18.74,725.0,34.22,63.89
bench_com,4G,read,100M,20250812-112136,232.0,2.0,351270.0,405000.0,0.33,97.49
bench_com,4G,read,1M,20250812-111948,236.0,236.0,3413.78,3884.0,1.45,96.29
bench_com,4G,read,128k,20250812-112519,212.0,1692.0,478.43,1188.0,4.59,93.47
bench_com,4G,read,1M,20250812-111927,179.0,179.0,4619.88,5538.0,1.03,96.74
bench_com,4G,read,4k,20250812-112419,155.0,39700.0,18.86,750.0,35.47,62.56
bench_com,4G,read,128k,20250812-112506,212.0,1692.0,482.86,1188.0,4.71,93.53
bench_com,4G,read,1M,20250812-111914,225.0,224.0,3625.89,4047.0,2.0,95.65
bench_com,4G,read,1M,20250812-111854,228.0,228.0,4346.73,9765.0,1.81,90.26
bench_com,4G,read,128k,20250812-112540,208.0,1664.0,489.97,1172.0,6.71,91.08
bench_com,4G,read,128k,20250812-112526,211.0,1685.0,483.15,1188.0,6.13,91.77
bench_com,4G,read,10M,20250812-112032,230.0,23.0,35535.72,38011.0,0.27,97.85
bench_com,4G,read,128k,20250812-112533,216.0,1728.0,472.65,1156.0,5.74,92.42
bench_com,4G,read,4k,20250812-112410,150.0,38500.0,19.53,766.0,37.81,60.32
bench_com,4G,read,100M,20250812-112123,240.0,2.0,338230.0,393000.0,0.19,97.75
bench_com,4G,read,10M,20250812-112013,236.0,23.0,34407.01,36439.0,0.25,97.8
bench_com,4G,read,4k,20250812-112326,155.0,39700.0,18.8,725.0,35.31,63.07
bench_com,4G,read,1M,20250812-111921,236.0,236.0,3428.78,3982.0,1.66,96.03
bench_com,4G,read,10M,20250812-112019,229.0,22.0,35370.91,47449.0,0.34,97.37
bench_com,4G,read,1G,20250812-112311,203.0,0.0,,4178000.0,0.14,97.64
bench_com,4G,read,100M,20250812-112129,218.0,2.0,372810.0,422000.0,0.24,97.51
bench_com,4G,read,10M,20250812-112051,240.0,23.0,33510.59,35390.0,0.21,97.79
bench_com,4G,read,1G,20250812-112304,213.0,0.0,,4010000.0,0.15,97.55
bench_com,4G,read,1G,20250812-112222,199.0,0.0,,4329000.0,0.18,97.57
bench_com,4G,read,100M,20250812-112110,230.0,2.0,356610.0,405000.0,0.32,97.45
bench_com,4G,read,1G,20250812-112236,201.0,0.0,,4245000.0,0.29,97.59
bench_com,4G,read,4k,20250812-112353,148.0,37800.0,19.67,783.0,35.89,62.1
bench_com,4G,read,100M,20250812-112201,230.0,2.0,350940.0,397000.0,0.35,97.44
