kernel,mem,mode,bs,ts,bw_mib_s,iops,clat_avg_us,clat_p99_us,cpu_usr_pct,cpu_sys_pct
iomap_v1_hole,8G,read,1M,20250809-101321,2094.0,2094.0,467.79,668.0,6.75,90.39
iomap_v1_hole,8G,read,10M,20250809-101430,2082.0,208.0,4746.36,5669.0,0.61,97.34
iomap_v1_hole,8G,read,10M,20250809-101509,1717.0,171.0,5751.15,8586.0,1.52,95.96
vanila_hole,8G,read,10M,20250809-071233,751.0,75.0,13261.91,25560.0,0.74,98.31
iomap_v1_hole,8G,read,10M,20250809-101434,2020.0,201.0,4901.76,5735.0,2.18,95.45
iomap_v1_hole,8G,read,1M,20250809-101416,2322.0,2321.0,422.96,570.0,5.68,92.5
iomap_v1_hole,8G,read,1M,20250809-101341,2338.0,2337.0,419.6,570.0,3.2,95.42
iomap_v1_hole,8G,read,1M,20250809-101304,2393.0,2392.0,409.84,578.0,3.98,94.15
iomap_v1_hole,8G,read,10M,20250809-101519,2024.0,202.0,4892.77,5997.0,0.4,101.39
vanila_hole,8G,read,100M,20250809-071324,747.0,7.0,133290.0,186000.0,0.37,98.88
vanila_hole,8G,read,1G,20250809-071405,658.0,0.0,,1552000.0,0.39,98.59
iomap_v1_hole,8G,read,1M,20250809-101403,2281.0,2280.0,429.5,562.0,2.9,95.09
vanila_hole,8G,read,1G,20250809-071409,661.0,0.0,,1552000.0,0.0,99.29
vanila_hole,8G,read,1M,20250809-071111,743.0,743.0,1334.5,1680.0,1.67,95.65
iomap_v1_hole,8G,read,1M,20250809-101253,2450.0,2449.0,400.71,519.0,5.5,93.06
vanila_hole,8G,read,1M,20250809-071124,769.0,768.0,1291.13,2057.0,1.65,96.99
vanila_hole,8G,read,100M,20250809-071315,652.0,6.0,153080.0,296000.0,0.2,98.44
iomap_v1_hole,8G,read,10M,20250809-101500,1921.0,192.0,5144.89,6915.0,0.57,96.6
iomap_v1_hole,8G,read,4k,20250809-103846,766.0,196000.0,3.74,65.0,72.25,26.55
iomap_v1_hole,8G,read,10M,20250809-101730,1988.0,198.0,4979.68,6325.0,1.17,96.48
iomap_v1_hole,8G,read,10M,20250809-101531,1777.0,177.0,5562.84,6849.0,2.44,96.51
iomap_v1_hole,8G,read,1M,20250809-101353,2207.0,2206.0,444.34,635.0,4.1,94.17
vanila_hole,8G,read,10M,20250809-071259,750.0,75.0,13282.26,21103.0,0.15,98.6
iomap_v1_hole,8G,read,10M,20250809-101722,2156.0,215.0,4593.21,5342.0,0.21,97.46
iomap_v1_hole,8G,read,4k,20250809-103824,751.0,192000.0,3.94,65.0,70.41,28.27
iomap_v1_hole,8G,read,1M,20250809-101414,2398.0,2398.0,404.49,603.0,2.58,95.31
iomap_v1_hole,8G,read,1M,20250809-101329,2291.0,2290.0,427.7,594.0,6.5,91.93
vanila_hole,8G,read,1M,20250809-071130,738.0,737.0,1345.46,2409.0,0.29,98.63
iomap_v1_hole,8G,read,100M,20250809-101754,1808.0,18.0,54913.62,90702.0,0.18,97.64
iomap_v1_hole,8G,read,10M,20250809-101521,2237.0,223.0,4418.42,4948.0,3.08,97.8
vanila_hole,8G,read,1G,20250809-071352,684.0,0.0,,1502000.0,0.4,98.6
iomap_v1_hole,8G,read,100M,20250809-101752,1689.0,16.0,58820.0,104000.0,0.85,96.62
iomap_v1_hole,8G,read,1M,20250809-101337,2221.0,2221.0,441.71,709.0,3.69,94.14
iomap_v1_hole,8G,read,1M,20250809-101707,2393.0,2392.0,410.51,562.0,0.7,97.43
iomap_v1_hole,8G,read,10M,20250809-101525,2103.0,210.0,4706.07,5669.0,2.06,97.94
iomap_v1_hole,8G,read,1M,20250809-101411,2381.0,2381.0,411.55,537.0,6.76,91.14
iomap_v1_hole,8G,read,10M,20250809-101436,2052.0,205.0,4824.71,14353.0,2.01,96.58
iomap_v1_hole,8G,read,1M,20250809-101257,2327.0,2327.0,419.69,676.0,7.05,90.45
vanila_hole,8G,read,128k,20250809-071451,783.0,6262.0,157.34,449.0,1.99,96.94
iomap_v1_hole,8G,read,1M,20250809-101259,2554.0,2553.0,383.28,494.0,6.5,92.0
iomap_v1_hole,8G,read,10M,20250809-101438,1932.0,193.0,5123.03,6456.0,1.14,97.34
iomap_v1_hole,8G,read,1M,20250809-101422,2236.0,2235.0,439.04,611.0,4.16,93.65
iomap_v1_hole,8G,read,1G,20250809-101821,1349.0,1.0,,760000.0,0.26,98.15
iomap_v1_hole,8G,read,4k,20250809-103833,823.0,211000.0,3.52,61.0,71.3,27.49
iomap_v1_hole,8G,read,1M,20250809-101255,2444.0,2443.0,402.07,523.0,7.66,90.43
iomap_v1_hole,8G,read,1M,20250809-101325,2216.0,2216.0,443.17,644.0,3.04,94.58
vanila_hole,8G,read,128k,20250809-071506,779.0,6229.0,158.19,453.0,5.86,93.38
vanila_hole,8G,read,1G,20250809-071336,258.0,0.0,,3977000.0,0.23,98.74
iomap_v1_hole,8G,read,10M,20250809-101444,1878.0,187.0,5257.57,7373.0,1.11,96.86
iomap_v1_hole,8G,read,1M,20250809-101412,2387.0,2386.0,411.05,529.0,0.0,97.9
vanila_hole,8G,read,1M,20250809-071121,747.0,747.0,1329.35,1811.0,0.44,98.25
iomap_v1_hole,8G,read,10M,20250809-101456,2036.0,203.0,4857.73,5604.0,2.0,96.6
vanila_hole,8G,read,4k,20250809-071412,488.0,125000.0,6.67,245.0,45.78,53.64
iomap_v1_hole,8G,read,1M,20250809-101306,2409.0,2409.0,406.99,515.0,1.65,94.34
iomap_v1_hole,8G,read,10M,20250809-101513,1838.0,183.0,5361.83,7046.0,1.08,96.76
iomap_v1_hole,8G,read,1G,20250809-101802,788.0,0.0,,1301000.0,0.15,98.54
iomap_v1_hole,8G,read,1M,20250809-101303,2498.0,2497.0,391.19,494.0,5.13,94.13
vanila_hole,8G,read,128k,20250809-071503,794.0,6350.0,155.32,441.0,5.35,93.64
iomap_v1_hole,8G,read,1M,20250809-101301,2467.0,2467.0,396.9,553.0,2.17,95.65
vanila_hole,8G,read,1G,20250809-071349,670.0,0.0,,1519000.0,0.26,98.49
iomap_v1_hole,8G,read,100M,20250809-101742,1805.0,18.0,55029.35,79168.0,0.54,97.65
iomap_v1_hole,8G,read,1M,20250809-101357,2276.0,2275.0,432.2,586.0,2.22,96.0
vanila_hole,8G,read,10M,20250809-071246,715.0,71.0,13945.58,23200.0,0.77,97.76
iomap_v1_hole,8G,read,1M,20250809-101351,2008.0,2007.0,459.44,734.0,11.79,85.46
vanila_hole,8G,read,1M,20250809-095225,730.0,730.0,1351.62,5342.0,1.5,93.51
vanila_hole,8G,read,100M,20250809-071305,678.0,6.0,147130.0,271000.0,0.07,98.64
iomap_v1_hole,8G,read,1M,20250809-101323,2327.0,2327.0,420.0,570.0,6.36,91.59
vanila_hole,8G,read,100M,20250809-071327,750.0,7.0,133050.0,182000.0,0.15,98.95
iomap_v1_hole,8G,read,1M,20250809-101720,2404.0,2403.0,408.06,578.0,1.41,97.18
iomap_v1_hole,8G,read,1G,20250809-101805,1476.0,1.0,,693000.0,0.0,98.27
iomap_v1_hole,8G,read,10M,20250809-101529,2090.0,209.0,4729.16,5342.0,2.87,96.3
vanila_hole,8G,read,4k,20250809-071435,427.0,109000.0,7.18,255.0,52.36,46.69
iomap_v1_hole,8G,read,1M,20250809-101709,2312.0,2311.0,424.1,586.0,5.19,93.23
iomap_v1_hole,8G,read,10M,20250809-101738,1984.0,198.0,4980.88,6128.0,2.53,95.52
vanila_hole,8G,read,1G,20250809-071359,609.0,0.0,,1687000.0,0.3,98.63
iomap_v1_hole,8G,read,1M,20250809-101418,2409.0,2409.0,405.26,553.0,7.29,90.82
vanila_hole,8G,read,10M,20250809-071256,781.0,78.0,12754.97,23987.0,0.15,98.62
iomap_v1_hole,8G,read,1M,20250809-101401,2365.0,2364.0,411.69,537.0,9.49,88.43
iomap_v1_hole,8G,read,1M,20250809-101424,2226.0,2226.0,440.65,562.0,6.74,91.52
vanila_hole,8G,read,10M,20250809-071243,716.0,71.0,13917.61,31851.0,0.14,98.6
iomap_v1_hole,8G,read,1M,20250809-101319,2169.0,2169.0,452.38,611.0,2.97,94.92
iomap_v1_hole,8G,read,100M,20250809-101746,1792.0,17.0,55456.78,81265.0,1.08,97.49
vanila_hole,8G,read,4k,20250809-071443,473.0,121000.0,6.89,247.0,43.48,55.45
vanila_hole,8G,read,100M,20250809-071330,773.0,7.0,129030.0,180000.0,0.0,98.84
vanila_hole,8G,read,10M,20250809-071249,714.0,71.0,13939.94,25822.0,0.35,98.11
iomap_v1_hole,8G,read,1M,20250809-101343,2404.0,2403.0,408.39,523.0,2.35,95.53
iomap_v1_hole,8G,read,1M,20250809-101308,2462.0,2461.0,398.42,537.0,8.67,88.19
iomap_v1_hole,8G,read,1G,20250809-101814,1346.0,1.0,,760000.0,0.39,97.9
iomap_v1_hole,8G,read,1G,20250809-101810,1356.0,1.0,,751000.0,0.79,97.35
vanila_hole,8G,read,128k,20250809-071518,766.0,6131.0,160.12,445.0,3.9,95.13
iomap_v1_hole,8G,read,10M,20250809-101726,2107.0,210.0,4689.45,8455.0,1.24,96.89
iomap_v1_hole,8G,read,1M,20250809-101711,2504.0,2503.0,390.23,506.0,5.39,93.38
vanila_hole,8G,read,100M,20250809-071333,760.0,7.0,131110.0,182000.0,0.46,98.4
iomap_v1_hole,8G,read,1M,20250809-101317,2327.0,2327.0,421.01,594.0,3.86,93.64
vanila_hole,8G,read,4k,20250809-071427,494.0,126000.0,6.67,245.0,51.35,47.88
vanila_hole,8G,read,100M,20250809-071311,635.0,6.0,157050.0,279000.0,0.38,98.22
iomap_v1_hole,8G,read,1G,20250809-101823,1278.0,1.0,,802000.0,1.12,97.0
iomap_v1_hole,8G,read,10M,20250809-101432,2116.0,211.0,4676.63,5080.0,0.62,97.1
iomap_v1_hole,8G,read,10M,20250809-101452,2052.0,205.0,4825.31,5932.0,0.6,96.78
vanila_hole,8G,read,10M,20250809-071302,757.0,75.0,13166.69,25822.0,0.15,98.52
iomap_v1_hole,8G,read,1M,20250809-101339,2231.0,2230.0,439.09,635.0,5.88,91.29
iomap_v1_hole,8G,read,100M,20250809-101744,1792.0,17.0,55381.48,87557.0,0.54,97.85
iomap_v1_hole,8G,read,1M,20250809-101409,2354.0,2354.0,413.88,529.0,5.07,93.55
vanila_hole,8G,read,4k,20250809-071431,490.0,125000.0,6.71,247.0,49.43,49.67
vanila_hole,8G,read,100M,20250809-071321,697.0,6.0,143160.0,192000.0,0.0,98.88
vanila_hole,8G,read,10M,20250809-071239,694.0,69.0,14355.53,32113.0,0.68,98.03
vanila_hole,8G,read,4k,20250809-071423,473.0,121000.0,6.93,249.0,46.4,52.5
vanila_hole,8G,read,1G,20250809-071355,661.0,0.0,,1552000.0,0.13,98.71
iomap_v1_hole,8G,read,4k,20250809-103830,841.0,215000.0,3.43,61.0,75.92,22.76
vanila_hole,8G,read,1M,20250809-071108,753.0,753.0,1316.6,1631.0,0.81,97.35
iomap_v1_hole,8G,read,10M,20250809-101458,2082.0,208.0,4749.06,5342.0,0.61,97.14
iomap_v1_hole,8G,read,1M,20250809-101331,2450.0,2449.0,401.19,510.0,2.87,94.74
iomap_v1_hole,8G,read,1M,20250809-101315,2301.0,2301.0,426.07,545.0,3.82,93.71
iomap_v1_hole,8G,read,10M,20250809-101527,2099.0,209.0,4714.04,5604.0,1.03,97.94
iomap_v1_hole,8G,read,10M,20250809-101517,1844.0,184.0,5365.42,12387.0,1.81,94.75
iomap_v1_hole,8G,read,10M,20250809-101537,1656.0,165.0,5969.99,9634.0,2.76,95.12
iomap_v1_hole,8G,read,1M,20250809-101355,2387.0,2386.0,410.68,519.0,3.26,94.64
iomap_v1_hole,8G,read,100M,20250809-101757,1919.0,19.0,51765.12,82314.0,1.34,97.12
iomap_v1_hole,8G,read,4k,20250809-103841,812.0,208000.0,3.54,61.0,82.22,16.9
iomap_v1_hole,8G,read,1M,20250809-101716,2415.0,2415.0,405.99,709.0,4.26,94.09
iomap_v1_hole,8G,read,10M,20250809-101502,1828.0,182.0,5410.38,6718.0,1.25,96.06
iomap_v1_hole,8G,read,1M,20250809-101705,2606.0,2605.0,375.3,490.0,2.55,95.66
vanila_hole,8G,read,1M,20250809-071127,737.0,737.0,1344.42,3097.0,2.38,96.18
vanila_hole,8G,read,1M,20250809-095228,1420.0,1420.0,687.68,1254.0,5.84,85.84
vanila_hole,8G,read,1M,20250809-071114,720.0,720.0,1379.39,2769.0,1.55,96.77
iomap_v1_hole,8G,read,4k,20250809-103827,776.0,199000.0,3.79,62.0,71.67,27.05
iomap_v1_hole,8G,read,10M,20250809-101535,2121.0,212.0,4666.99,5211.0,1.04,97.92
vanila_hole,8G,read,1M,20250809-071133,770.0,769.0,1290.66,2474.0,1.73,97.14
vanila_hole,8G,read,4k,20250809-071447,475.0,122000.0,6.79,247.0,49.1,50.16
iomap_v1_hole,8G,read,10M,20250809-101511,2094.0,209.0,4715.38,5276.0,0.0,98.15
vanila_hole,8G,read,1M,20250809-071117,760.0,760.0,1305.53,1778.0,1.04,97.33
iomap_v1_hole,8G,read,4k,20250809-103838,837.0,214000.0,3.45,60.0,71.46,27.56
vanila_hole,8G,read,1G,20250809-071402,627.0,0.0,,1636000.0,0.06,98.47
iomap_v1_hole,8G,read,10M,20250809-101442,2028.0,202.0,4878.74,5997.0,0.4,97.61
vanila_hole,8G,read,128k,20250809-071512,778.0,6220.0,157.05,449.0,6.16,92.78
vanila_hole,8G,read,4k,20250809-071416,477.0,122000.0,6.91,253.0,47.06,52.14
iomap_v1_hole,8G,read,1M,20250809-101251,1112.0,1111.0,890.49,3687.0,1.74,97.39
iomap_v1_hole,8G,read,1G,20250809-101817,1332.0,1.0,,768000.0,0.78,97.4
iomap_v1_hole,8G,read,1M,20250809-101333,2276.0,2275.0,430.83,627.0,1.56,96.0
iomap_v1_hole,8G,read,10M,20250809-101505,1768.0,176.0,5587.84,6849.0,1.56,95.83
iomap_v1_hole,8G,read,10M,20250809-101454,2077.0,207.0,4764.27,5211.0,2.65,95.31
iomap_v1_hole,8G,read,1M,20250809-101349,2060.0,2060.0,476.09,725.0,3.02,94.15
iomap_v1_hole,8G,read,10M,20250809-101507,1928.0,192.0,5122.22,5735.0,0.57,97.16
iomap_v1_hole,8G,read,10M,20250809-101523,2138.0,213.0,4635.07,5145.0,2.94,97.69
iomap_v1_hole,8G,read,1M,20250809-101405,2387.0,2386.0,411.07,529.0,4.66,94.17
vanila_hole,8G,read,128k,20250809-071509,808.0,6460.0,152.59,437.0,6.08,92.98
iomap_v1_hole,8G,read,1M,20250809-101407,2256.0,2255.0,435.12,676.0,4.63,93.17
iomap_v1_hole,8G,read,100M,20250809-101748,1898.0,18.0,52366.64,84411.0,1.14,97.53
vanila_hole,8G,read,128k,20250809-071500,793.0,6340.0,155.4,445.0,2.4,96.59
iomap_v1_hole,8G,read,4k,20250809-103843,768.0,197000.0,3.77,64.0,75.39,23.48
vanila_hole,8G,read,10M,20250809-071236,709.0,70.0,14054.8,26608.0,0.0,98.4
iomap_v1_hole,8G,read,10M,20250809-101732,1977.0,197.0,5002.91,6652.0,1.74,95.35
vanila_hole,8G,read,1G,20250809-071346,640.0,0.0,,1603000.0,0.38,98.44
iomap_v1_hole,8G,read,4k,20250809-103849,772.0,198000.0,3.76,67.0,70.74,27.75
vanila_hole,8G,read,128k,20250809-071457,798.0,6385.0,154.37,441.0,1.95,96.96
iomap_v1_hole,8G,read,1M,20250809-101335,2381.0,2381.0,412.84,553.0,3.26,94.64
vanila_hole,8G,read,128k,20250809-071454,786.0,6287.0,156.7,449.0,5.15,93.7
vanila_hole,8G,read,1M,20250809-071102,287.0,287.0,3462.49,7242.0,1.18,96.58
iomap_v1_hole,8G,read,10M,20250809-101727,1917.0,191.0,5139.05,6521.0,3.2,94.55
vanila_hole,8G,read,128k,20250809-071515,782.0,6258.0,157.57,453.0,4.05,94.81
iomap_v1_hole,8G,read,1M,20250809-101327,2322.0,2321.0,421.96,562.0,5.9,91.84
iomap_v1_hole,8G,read,10M,20250809-101440,1943.0,194.0,5082.83,5932.0,4.58,93.51
vanila_hole,8G,read,4k,20250809-071439,501.0,128000.0,6.55,241.0,42.88,56.39
iomap_v1_hole,8G,read,1G,20250809-101807,1416.0,1.0,,718000.0,0.41,97.79
iomap_v1_hole,8G,read,1M,20250809-101345,2393.0,2392.0,408.37,523.0,6.54,91.82
iomap_v1_hole,8G,read,100M,20250809-101758,1916.0,19.0,51793.11,82314.0,1.15,97.89
iomap_v1_hole,8G,read,1M,20250809-101312,2450.0,2449.0,399.8,523.0,3.84,93.05
iomap_v1_hole,8G,read,10M,20250809-101734,1812.0,181.0,5461.86,6849.0,1.07,96.44
