kernel,mem,mode,bs,ts,bw_mib_s,iops,clat_avg_us,clat_p99_us,cpu_usr_pct,cpu_sys_pct
iomap_v1,8G,read,1M,20250808-205429,2738.0,2737.0,354.55,594.0,4.02,75.34
vanila,8G,read,4k,20250808-212648,439.0,112000.0,7.21,180.0,43.92,43.92
vanila,8G,read,128k,20250808-212747,610.0,4876.0,196.07,603.0,4.47,74.57
vanila,8G,read,10M,20250808-212532,1013.0,101.0,9812.03,11338.0,0.5,94.93
iomap_v1,8G,read,1G,20250808-205513,2008.0,1.0,,506000.0,0.39,93.52
iomap_v1,8G,read,100M,20250808-205459,2899.0,28.0,34112.49,58983.0,0.87,88.12
vanila,8G,read,1M,20250808-212505,978.0,978.0,1007.56,1893.0,2.58,87.58
iomap_v1,8G,read,10M,20250808-205438,3333.0,333.0,2952.31,3458.0,3.93,85.57
iomap_v1,8G,read,100M,20250808-205453,3356.0,33.0,29510.38,53740.0,1.01,88.26
iomap_v1,8G,read,1G,20250808-205511,1907.0,1.0,,535000.0,0.93,92.72
vanila,8G,read,128k,20250808-212758,688.0,5501.0,175.88,506.0,3.49,75.4
iomap_v1,8G,read,4k,20250808-205553,575.0,147000.0,5.02,69.0,55.79,27.36
iomap_v1,8G,read,10M,20250808-205437,3129.0,312.0,3132.14,3589.0,3.07,83.44
vanila,8G,read,1M,20250808-212512,978.0,978.0,1007.83,1237.0,3.06,88.24
iomap_v1,8G,read,100M,20250808-205507,2494.0,24.0,39623.72,83362.0,2.74,82.29
iomap_v1,8G,read,10M,20250808-205445,3178.0,317.0,3107.99,3884.0,0.62,84.11
vanila,8G,read,100M,20250808-212545,953.0,9.0,104560.0,174000.0,0.57,88.75
vanila,8G,read,1M,20250808-212508,985.0,984.0,1001.75,1254.0,2.5,89.12
iomap_v1,8G,read,100M,20250808-205452,3257.0,32.0,30356.09,53216.0,0.0,89.22
vanila,8G,read,4k,20250808-212723,438.0,112000.0,7.24,174.0,45.58,42.37
vanila,8G,read,128k,20250808-212734,739.0,5914.0,163.26,478.0,3.83,75.36
iomap_v1,8G,read,4k,20250808-205544,633.0,162000.0,4.61,65.0,50.31,33.42
iomap_v1,8G,read,4k,20250808-205532,616.0,158000.0,4.45,65.0,57.88,25.27
iomap_v1,8G,read,1G,20250808-205523,2147.0,2.0,,477000.0,0.21,94.13
vanila,8G,read,10M,20250808-212539,899.0,89.0,11044.88,15008.0,0.09,94.8
iomap_v1,8G,read,4k,20250808-205535,629.0,161000.0,4.55,67.0,51.63,31.18
iomap_v1,8G,read,10M,20250808-205440,3148.0,314.0,3129.55,4883.0,1.86,87.0
iomap_v1,8G,read,1M,20250808-205421,2829.0,2828.0,342.9,644.0,9.67,64.09
vanila,8G,read,1M,20250808-212457,1000.0,1000.0,980.25,1270.0,1.86,89.25
iomap_v1,8G,read,100M,20250808-205457,3049.0,30.0,32441.31,55837.0,0.61,86.85
iomap_v1,8G,read,1G,20250808-205517,1947.0,1.0,,523000.0,1.9,92.57
iomap_v1,8G,read,1G,20250808-205509,1654.0,1.0,,617000.0,0.0,92.56
iomap_v1,8G,read,128k,20250808-205611,1326.0,10600.0,90.44,322.0,5.32,41.25
iomap_v1,8G,read,1M,20250808-205425,2844.0,2844.0,335.33,594.0,4.74,73.54
iomap_v1,8G,read,4k,20250808-205541,572.0,147000.0,4.77,67.0,59.2,24.59
iomap_v1,8G,read,1G,20250808-205515,1842.0,1.0,,550000.0,0.36,93.53
vanila,8G,read,1G,20250808-212635,829.0,0.0,,1234000.0,0.16,96.19
vanila,8G,read,1G,20250808-212622,859.0,0.0,,1183000.0,0.67,95.47
iomap_v1,8G,read,1M,20250808-205417,1698.0,1698.0,577.43,1631.0,2.82,43.95
vanila,8G,read,1G,20250808-212628,850.0,0.0,,1200000.0,0.17,96.01
vanila,8G,read,1M,20250808-212503,1043.0,1042.0,948.62,1287.0,1.12,90.53
vanila,8G,read,128k,20250808-212754,606.0,4850.0,198.81,652.0,5.63,73.1
vanila,8G,read,100M,20250808-212606,1007.0,10.0,98900.0,122000.0,0.2,95.36
vanila,8G,read,4k,20250808-212701,427.0,109000.0,7.24,174.0,42.86,45.45
iomap_v1,8G,read,128k,20250808-205602,1418.0,11300.0,84.19,293.0,5.41,43.97
vanila,8G,read,128k,20250808-212750,693.0,5546.0,173.52,515.0,5.08,74.07
vanila,8G,read,1G,20250808-212641,822.0,0.0,,1250000.0,0.0,96.14
iomap_v1,8G,read,128k,20250808-205604,1076.0,8605.0,110.8,412.0,6.31,39.96
vanila,8G,read,10M,20250808-212520,1045.0,104.0,9503.63,12125.0,1.23,94.05
iomap_v1,8G,read,1M,20250808-205427,2844.0,2844.0,340.76,635.0,4.17,68.06
vanila,8G,read,1G,20250808-212638,826.0,0.0,,1234000.0,0.48,95.8
vanila,8G,read,100M,20250808-212557,962.0,9.0,103680.0,148000.0,0.0,91.73
iomap_v1,8G,read,100M,20250808-205505,2967.0,29.0,33234.08,62129.0,1.79,87.2
vanila,8G,read,1M,20250808-212445,894.0,894.0,1106.39,3032.0,1.31,81.99
vanila,8G,read,4k,20250808-212727,390.0,99900.0,8.1,188.0,45.27,41.84
iomap_v1,8G,read,1G,20250808-205519,1969.0,1.0,,518000.0,0.38,93.27
vanila,8G,read,10M,20250808-212526,1022.0,102.0,9727.74,11994.0,1.0,94.99
iomap_v1,8G,read,1M,20250808-205424,2901.0,2900.0,330.03,586.0,4.83,70.17
vanila,8G,read,128k,20250808-212801,753.0,6027.0,161.72,469.0,5.37,73.88
vanila,8G,read,100M,20250808-212612,1027.0,10.0,97020.0,120000.0,0.21,95.68
vanila,8G,read,10M,20250808-212523,997.0,99.0,9964.17,11863.0,0.98,93.65
iomap_v1,8G,read,1M,20250808-205432,2790.0,2790.0,347.31,627.0,4.9,72.48
iomap_v1,8G,read,128k,20250808-205600,1488.0,11900.0,79.79,253.0,4.8,45.56
iomap_v1,8G,read,100M,20250808-205501,2439.0,24.0,40647.11,60031.0,1.22,87.8
